iter	RMSE
349	36.53853252
350	36.49071721
351	36.46876753
352	36.4440755
353	36.42094326
354	36.3945921
355	36.34910837
356	36.33523822
357	36.32539631
358	36.29964702
359	36.27227097
360	36.25427347
361	36.2419831
362	36.21323837
363	36.20199623
364	36.18484175
365	36.15563532
366	36.12991713
367	36.09730092
368	36.08695451
369	36.060655
370	36.02863031
371	36.01190863
372	35.97141279
373	35.95833643
374	35.89801028
375	35.88379609
376	35.86682169
377	35.85357339
378	35.83032431
379	35.81058665
380	35.78317601
381	35.76716674
382	35.71903735
383	35.70346175
384	35.69364304
385	35.6749217
386	35.6578429
387	35.6468215
388	35.6339502
389	35.56734317
390	35.55260707
391	35.53871712
392	35.49788126
393	35.48720543
394	35.46989933
395	35.4557653
396	35.40799777
397	35.39483083
398	35.36957738
399	35.35447332
400	35.33467475
401	35.31878549
402	35.29627236
403	35.27947278
404	35.22716481
405	35.20200739
406	35.18301109
407	35.15470973
408	35.10242641
409	35.08336561
410	35.02794204
411	35.00178926
412	34.97545409
413	34.94387426
414	34.93158472
415	34.91826253
416	34.89431757
417	34.87456115
418	34.86259524
419	34.82290736
420	34.80986131
421	34.79959941
422	34.79303847
423	34.75000384
424	34.72124952
425	34.69273168
426	34.66890272
427	34.62639097
428	34.61335883
429	34.58781914
430	34.55826827
431	34.53761829
432	34.51505
433	34.49581341
434	34.45198601
435	34.44259568
436	34.41723042
437	34.39087825
438	34.37292518
439	34.35394427
440	34.33740703
441	34.30413475
442	34.27884996
443	34.26578557
444	34.23715513
445	34.18870508
446	34.11249532
447	34.09757743
448	34.08773406
449	34.07163155
450	34.01343841
451	33.99586154
452	33.97981346
453	33.9563576
454	33.93898388
455	33.89420207
456	33.86782391
457	33.84615915
458	33.81931665
459	33.79835214
460	33.78478836
461	33.75775533
462	33.72614245
463	33.70937814
464	33.691093
465	33.64723757
466	33.63504214
467	33.61078862
468	33.59947429
469	33.57810302
470	33.55440098
471	33.53335448
472	33.50888827
473	33.49064887
474	33.45442796
475	33.43956808
476	33.43013335
477	33.39881564
478	33.37150615
479	33.35614344
480	33.34560759
481	33.33170389
482	33.3064154
483	33.29333676
484	33.26875288
485	33.24993723
486	33.22710483
487	33.20999748
488	33.18885086
489	33.17271794
490	33.14664162
491	33.1330771
492	33.11686897
493	33.10082817
494	33.09000422
495	33.08069715
496	33.06266004
497	33.05524197
498	33.03888837
499	33.01002789
